Instance,Income
111994,28544.40
111995,23873.95
111996,38478.18
111997,140157.33
111998,29371.25
111999,67541.68
112000,157010.02
112001,61000.39
112002,32371.05
112003,108574.71
112004,10301.31
112005,114529.89
112006,31549.31
112007,97574.19
112008,224893.70
112009,63687.11
112010,42279.40
112011,31509.05
112012,19818.85
112013,7677.60
112014,160099.33
112015,48333.82
112016,49408.53
112017,31812.74
112018,204943.71
112019,77291.50
112020,42513.67
112021,38567.02
112022,66053.71
112023,54150.63
112024,28529.99
112025,95507.52
112026,41292.46
112027,66762.24
112028,62103.36
112029,56269.85
112030,176158.84
112031,168681.16
112032,178122.54
112033,82686.48
112034,350064.78
112035,96598.58
112036,157040.85
112037,135891.16
112038,164889.15
112039,36452.04
112040,44672.42
112041,72140.84
112042,33316.13
112043,65262.33
112044,46053.65
112045,24398.58
112046,281791.75
112047,31493.89
112048,29160.08
112049,90423.54
112050,57293.73
112051,70215.96
112052,92009.60
112053,268964.95
112054,65450.97
112055,27113.55
112056,77302.21
112057,29583.64
112058,21236.02
112059,60948.14
112060,274555.98
112061,194797.39
112062,188239.50
112063,77521.21
112064,22925.01
112065,57487.54
112066,2016.69
112067,123920.42
112068,90071.64
112069,202350.09
112070,561276.20
112071,35555.57
112072,75544.57
112073,44808.90
112074,20530.46
112075,12796.74
112076,93368.66
112077,446648.07
112078,7417.11
112079,138042.01
112080,122263.91
112081,736558.53
112082,42004.85
112083,38331.53
112084,15664.68
112085,58288.78
112086,30667.71
112087,107227.59
112088,95825.48
112089,63395.83
112090,163006.16
112091,49708.23
112092,34228.52
112093,43222.13
112094,37321.84
112095,62307.14
112096,157013.68
112097,20866.84
112098,39911.33
112099,32352.81
112100,49287.84
112101,198498.29
112102,29719.01
112103,143445.12
112104,78619.16
112105,42208.47
112106,110404.69
112107,107818.65
112108,56468.93
112109,33223.75
112110,37326.36
112111,27803.75
112112,98974.13
112113,68632.82
112114,134399.77
112115,16563.84
112116,37095.26
112117,80782.74
112118,26852.16
112119,29902.13
112120,399127.63
112121,106767.34
112122,710238.88
112123,197471.06
112124,36648.81
112125,175389.41
112126,151978.67
112127,18285.51
112128,39567.30
112129,106335.74
112130,52585.44
112131,9428.49
112132,75130.89
112133,292267.80
112134,11837.29
112135,24711.39
112136,33165.84
112137,15585.20
112138,59639.23
112139,56308.54
112140,45216.02
112141,33662.55
112142,49673.07
112143,273505.08
112144,29024.20
112145,30904.16
112146,52970.48
112147,220350.56
112148,43596.20
112149,64274.72
112150,22333.47
112151,251051.37
112152,82987.28
112153,57744.06
112154,19657.88
112155,84664.87
112156,83093.97
112157,84299.89
112158,37676.28
112159,324299.53
112160,45512.44
112161,138553.90
112162,132825.97
112163,11857.51
112164,19879.50
112165,127369.52
112166,71039.54
112167,12302.55
112168,48020.23
112169,301088.67
112170,200771.66
112171,40717.13
112172,22716.18
112173,95155.90
112174,42477.77
112175,32534.37
112176,32479.27
112177,124421.94
112178,17250.65
112179,26070.75
112180,38252.58
112181,3717.81
112182,203283.15
112183,86829.16
112184,24797.82
112185,289178.24
112186,6436.70
112187,105514.01
112188,194717.88
